listing_id,room_type,accomodates,min_date,max_date,timedelta (days),timedelta > 3 months,timedelta = 0,št. reviewev v zadnjih 12 mesecih,"število mesecev, v katerem so prejeli review",latitude,longitude,reviews,overall_satisfaction,price
19452368,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.056402,14.535994,5,4.5,60
19464426,Entire home/apt,2,2017-11-01,2018-08-06,278,TRUE,FALSE,9,5,46.047788,14.505693,10,5,119
19465792,Entire home/apt,6,2017-06-30,2018-11-11,499,TRUE,FALSE,32,11,46.067643,14.474202,24,5,60
19467851,Entire home/apt,4,2017-07-22,2018-12-03,499,TRUE,FALSE,19,8,46.048702,14.506327,21,4.5,109
19484771,Entire home/apt,3,2017-07-30,2018-11-05,463,TRUE,FALSE,15,8,46.07706,14.481061,10,5,63
19500600,Entire home/apt,5,2017-08-07,2018-08-14,372,TRUE,FALSE,1,1,46.043063,14.47891,2,\N,108
19515288,Entire home/apt,2,,,0,FALSE,TRUE,0,0,46.049253,14.499684,35,5,70
19537241,Entire home/apt,6,2017-07-09,2018-08-11,398,TRUE,FALSE,3,2,46.047226,14.494138,7,3.5,119
19545525,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.06326,14.518444,45,5,77
19545828,Entire home/apt,10,2017-08-15,2018-05-20,278,TRUE,FALSE,2,2,46.057632,14.521411,3,3.5,103
19547350,Entire home/apt,6,,,0,FALSE,TRUE,0,0,46.035584,14.494097,0,\N,164
19563399,Entire home/apt,8,2017-07-19,2018-12-10,509,TRUE,FALSE,55,12,46.04469,14.472531,65,5,95
19564345,Entire home/apt,6,2017-07-23,2018-12-13,508,TRUE,FALSE,26,11,46.047029,14.471649,30,5,95
19566169,Entire home/apt,6,2017-07-28,2018-11-25,485,TRUE,FALSE,14,8,46.047345,14.503874,13,5,217
19587019,Entire home/apt,3,2017-07-19,2018-11-25,494,TRUE,FALSE,72,12,46.057639,14.520248,69,5,55
19593859,Entire home/apt,4,2017-09-03,2018-12-09,462,TRUE,FALSE,38,11,46.0736,14.498812,24,4.5,93
19600795,Entire home/apt,5,2017-07-31,2018-12-06,493,TRUE,FALSE,14,5,46.043065,14.50298,5,4.5,72
19608310,Entire home/apt,5,2017-07-13,2018-10-28,472,TRUE,FALSE,30,9,46.061674,14.528067,42,5,61
19628354,Private room,2,2017-08-08,2018-08-23,380,TRUE,FALSE,2,1,46.028274,14.540972,3,5,47
19629722,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.066952,14.525789,20,4.5,68
19633008,Entire home/apt,5,2017-07-10,2018-11-28,506,TRUE,FALSE,36,10,46.047976,14.477289,31,5,33
19669354,Private room,2,2017-07-19,2018-08-26,403,TRUE,FALSE,7,2,46.028841,14.541322,7,4.5,42
19670981,Private room,2,2017-08-13,2018-09-07,390,TRUE,FALSE,11,3,46.026797,14.542283,3,4.5,41
19671650,Private room,2,2017-07-19,2018-08-20,397,TRUE,FALSE,2,1,46.027018,14.542305,6,5,47
19684444,Private room,2,,,0,FALSE,TRUE,0,0,46.042787,14.493263,21,4.5,40
19690219,Entire home/apt,6,2017-07-17,2018-11-18,489,TRUE,FALSE,59,12,46.056475,14.512366,71,5,96
19703816,Entire home/apt,2,2017-07-16,2018-12-09,511,TRUE,FALSE,27,8,46.056156,14.511531,28,5,58
19705114,Entire home/apt,2,2017-08-18,2018-09-27,405,TRUE,FALSE,82,10,46.051296,14.527649,88,5,44
19706219,Private room,2,,,0,FALSE,TRUE,0,0,46.041557,14.48936,61,5,42
19709888,Entire home/apt,4,2017-07-18,2018-09-24,433,TRUE,FALSE,19,10,46.056552,14.50228,26,5,84
19716973,Entire home/apt,4,2017-07-19,2018-11-26,495,TRUE,FALSE,35,8,46.063568,14.496095,42,4.5,52
19733171,Private room,2,2017-07-12,2018-09-26,441,TRUE,FALSE,24,3,46.05116,14.481116,20,4,28
19733814,Private room,2,2017-07-11,2018-09-30,446,TRUE,FALSE,19,3,46.051599,14.481755,26,4.5,25
19734148,Private room,2,2017-07-19,2018-09-29,437,TRUE,FALSE,27,3,46.052691,14.479833,17,4.5,33
19734294,Private room,2,2017-07-17,2018-09-30,440,TRUE,FALSE,31,3,46.051089,14.480491,23,4.5,30
19739021,Entire home/apt,6,,,0,FALSE,TRUE,0,0,46.04496,14.487313,21,5,117
19743780,Entire home/apt,6,2017-07-25,2018-08-24,395,TRUE,FALSE,37,9,46.052959,14.503549,46,5,117
19749445,Entire home/apt,2,,,0,FALSE,TRUE,0,0,46.068282,14.51863,16,5,43
19759901,Private room,2,2018-05-26,2018-08-15,81,FALSE,FALSE,3,3,46.038204,14.506632,2,\N,71
19766672,Entire home/apt,4,2017-07-29,2018-09-30,428,TRUE,FALSE,43,4,46.040636,14.490791,36,5,48
19767165,Entire home/apt,2,2017-11-13,2018-04-01,139,TRUE,FALSE,1,1,46.048945,14.51391,2,\N,96
19778705,Private room,2,,,0,FALSE,TRUE,0,0,46.080174,14.50736,29,5,16
19794300,Entire home/apt,4,2017-07-22,2018-12-09,505,TRUE,FALSE,64,11,46.041097,14.511342,58,5,65
19805928,Entire home/apt,2,2017-07-18,2018-11-03,473,TRUE,FALSE,36,12,46.052173,14.512196,37,5,70
19807125,Entire home/apt,2,2017-07-21,2018-11-26,493,TRUE,FALSE,55,12,46.052115,14.510372,52,5,72
19815471,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.049804,14.490269,6,4.5,55
19823121,Entire home/apt,4,2017-07-15,2018-11-04,477,TRUE,FALSE,47,9,46.047468,14.504483,62,5,48
19840395,Entire home/apt,5,2017-08-02,2018-08-15,378,TRUE,FALSE,3,3,46.034601,14.497773,4,5,144
19840775,Entire home/apt,8,2017-10-25,2018-11-30,401,TRUE,FALSE,50,12,46.045547,14.472555,38,5,95
